"Accepted Symbol","Synonym Symbol","Scientific Name","Common Name","Genus","Active Growth Period","Flower Color","Growth Rate","Height, Mature (feet)","Lifespan","Shape and Orientation","Precipitation (Minimum)","Precipitation (Maximum)","Root Depth, Minimum (inches)","Shade Tolerance","Temperature, Minimum (°F)"
"FEVI","","Festuca viridula","greenleaf fescue","Festuca","Spring and Summer","Purple","Moderate","2.5","Moderate","Erect","40","60","10","Intermediate","-33"
"GYSA","","Gynerium sagittatum","wildcane","Gynerium","Spring","","Rapid","23","Short","Erect","43","134","12","Intermediate","40"
"HEAL5","","Hemarthria altissima","limpograss","Hemarthria","Spring, Summer, Fall","","Moderate","1.4","Moderate","Decumbent","35","70","16","Intolerant","28"
"HOLA","","Holcus lanatus","common velvetgrass","Holcus","Spring","Green","Moderate","3.3","Short","Erect","20","65","4","Intermediate","-23"
"LEVI2","","Leersia virginica","whitegrass","Leersia","Spring","Green","Moderate","3.9","Short","Erect","15","65","4","Tolerant","-43"
"LEAR11","","Leymus arenarius","sand ryegrass","Leymus","Spring, Summer, Fall","Yellow","Rapid","3.0","Long","Semi-Erect","34","60","16","Intolerant","7"
"LEFL4","","Leymus flavescens","yellow wildrye","Leymus","Spring and Summer","Yellow","Moderate","3.0","Moderate","Semi-Erect","12","30","10","Intolerant","-18"
"LESA4","","Leymus salinus","saline wildrye","Leymus","Spring and Summer","Yellow","Moderate","2.3","Long","Erect","10","24","10","Intolerant","-28"
"MESP","","Melica spectabilis","purple oniongrass","Melica","Spring and Summer","Purple","Moderate","2.5","Moderate","Erect","12","30","10","Intermediate","-33"
"MUCA2","","Muhlenbergia capillaris","hairawn muhly","Muhlenbergia","Spring and Summer","Red","Moderate","3.0","Short","Erect","30","90","9","Intolerant","7"
"MUFI3","","Muhlenbergia filipes","gulfhairawn muhly","Muhlenbergia","","","","","","","","","","",""
"MUFI3","MUCAF","Muhlenbergia capillaris var. filipes","","Muhlenbergia","Spring and Summer","Red","Moderate","3.0","Short","Erect","30","90","12","Intolerant","7"
"MURI","","Muhlenbergia richardsonis","mat muhly","Muhlenbergia","Spring and Summer","Green","Rapid","0.5","Short","Decumbent","10","19","6","Intolerant","-28"
"PAOB","","Panicum obtusum","vine mesquite","Panicum","Summer","Yellow","Rapid","2.0","Long","Erect","8","50","10","Intermediate","-23"
"PASM","","Pascopyrum smithii","western wheatgrass","Pascopyrum","Spring, Summer, Fall","Yellow","Rapid","2.5","Long","Semi-Erect","12","32","20","Intolerant","-43"
"PACO14","","Paspalum conjugatum","hilograss","Paspalum","Year Round","Yellow","Rapid","3.0","Long","Decumbent","40","200","12","Tolerant","15"
"PADI6","","Paspalum distichum","knotgrass","Paspalum","Spring, Summer, Fall","Green","Rapid","0.9","Short","Prostrate","30","64","4","Intolerant","-13"
"PAFL5","","Paspalum fluitans","horsetail paspalum","Paspalum","Spring and Summer","Green","Rapid","2.5","","Decumbent","40","64","4","Intermediate","-23"
"PAHI13","","Paspalum hieronymi","paspalum","Paspalum","Spring, Summer, Fall","","Rapid","0.8","Moderate","Prostrate","40","70","1","Intolerant","15"
"PALA10","","Paspalum laeve","field paspalum","Paspalum","Spring and Summer","Green","Moderate","2.9","Moderate","Erect","38","59","4","Intermediate","-13"
"PANI3","","Paspalum nicorae","Brunswickgrass","Paspalum","Spring, Summer, Fall","Yellow","Rapid","2.0","Moderate","Semi-Erect","32","60","12","Intolerant","7"
"PAPL3","","Paspalum plicatulum","brownseed paspalum","Paspalum","Spring","Green","Moderate","3.3","Moderate","Erect","34","59","4","Intermediate","7"
"PAVA","","Paspalum vaginatum","seashore paspalum","Paspalum","Spring, Summer, Fall","","Rapid","0.8","Moderate","Climbing","40","70","10","Intolerant","15"
